Restaurant,City,State,Item,Price,Image
Sweet Leaf - DC,Washington,DC,The Classic,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000005695126405_1657128768.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Pesto Chicken,$13.79,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/8/item-100000000046156248_1657054038.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Chimichurri,$14.79,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/2/item-100000001789381502_1657054259.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Blue Magic (seasonal),$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000036582686335_1702514326.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Berry Haze,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/0/item-100000032979032880_1692801439.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Green Cure,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000005695126407_1657128793.jpg?size=medium
Sweet Leaf - DC,Washington,DC,The Classic,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000005695126405_1657128768.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Sweet Mango,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/5/item-100000005695126415_1657128908.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Berry Blanco,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/3/item-100000005695126413_1657128877.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Very Verde,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/1/item-100000005695126411_1657128849.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Mango Buzz,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/9/item-100000005695126409_1657128819.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Velvet Oreo,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/0/item-100000005695126420_1657128975.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Craft Smoothie,$7.49,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/7/item-100000016642811827_1657139288.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Berry Toast (new),$8.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/2/item-100000036583239232_1702514960.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Avo Toast,$8.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/1/item-100000005695125031_1657129742.jpg?size=medium
Sweet Leaf - DC,Washington,DC,Elote Toast,$8.29,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-9079000000000000/menu/items/2/item-100000005695125592_1657129811.jpg?size=medium
