Restaurant,City,State,URL
Sweet Leaf - DC,Washington,DC,https://www.toasttab.com/local/order/sweet-leaf-dc/r-782a0563-5905-4758-a4bf-85265c9848d9
Dauphine's - 15th St. NW,Washington,DC,https://www.toasttab.com/local/order/dauphinesdc/r-f744bcda-e2d0-4251-88af-2f55015d44ff
Maiz64,Washington,DC,https://www.toasttab.com/local/order/maiz-64-1324-14th-street-northwest/r-b6370d26-42b2-4655-933f-50bd40e1e1e8
Philotimo - Mid-Town,Washington,DC,https://www.toasttab.com/local/order/philotimo-1100-15th-street-nw/r-b22a06ef-6edb-46cd-8f6b-7ac893e9560d
Pappe,Washington,DC,https://www.toasttab.com/local/order/pappe/r-48cfe3d5-0366-4364-b4ef-1c0f5c1025ba
The Crown and Crow - 1317 14th St NW,Washington,DC,https://www.toasttab.com/local/the-crown-and-crow-1317-14th-st-nw-washington-dc-20005/r-c89c09ed-c4e6-4e2c-83f1-dab581f83bb5
Stan's Restaurant - Downtown NW,Washington,DC,https://www.toasttab.com/local/order/stansdc/r-97c48367-d6b8-4196-be19-d2057497ce81
Grazie Mille - 1100 15th Street Northwest (IN THE ALLEY OFF 15th STREET),Washington,DC,https://www.toasttab.com/local/little-chicken-1100-15th-street-northwest/r-ab44b8bf-c7ee-4181-a114-c5c9e474c9b0
ChurchKey -,Washington,DC,https://www.toasttab.com/local/order/nrg-amendment-2-birch-barley/r-6d07aeb7-81a6-4400-936e-055eb7d94c27
Lima - 1411 K Street NW,Washington,DC,https://www.toasttab.com/local/lima-14011-k-street-nw/r-26228584-345f-459e-88d2-27a935739835
Seasons at Sidley Austin,Washington,DC,https://www.toasttab.com/local/order/seasons-culinary-sidley-austin/r-667e91a3-cc75-4183-b196-f3c7068a9a91
PLANTA Cocina - Logan Circle,Washington,DC,https://www.toasttab.com/local/order/planta-p-street-1460-p-st-nw/r-46a6a736-b8f2-4f7f-9dc6-c5a7b0cd6928
P.J. Clarke's - DC,Washington,DC,https://www.toasttab.com/local/order/p-j-clarkes-dc-1600-k-st-nw/r-246e1375-4f70-43bb-93e7-6db7759a775b
Officina Cafe - Downtown,Washington,DC,https://www.toasttab.com/local/order/officina-cafe-l-st-1615-l-street-nw/r-1b72ab86-00c5-4e37-85ae-061700e921d5
Call Your Mother-Logan Circle,Washington,DC,https://www.toasttab.com/local/order/call-your-mother-logan-circle/r-4714c02a-5c6d-4584-8c26-c32a83fd4ce2
Stoney's on P - Stoney's on P,Washington,DC,https://www.toasttab.com/local/order/stoneysonp/r-6b366660-c25c-4515-9cb5-746ab3a1840f
Coco Lezzone,Washington,DC,https://www.toasttab.com/local/order/coco-lezzone-915-15th-st-nw/r-f122a218-27e2-4725-9498-1bfa7a3cb31f
The Park at 14th,Washington,DC,https://www.toasttab.com/local/order/the-park-at-14th/r-a6c34e35-4331-4f21-a373-ffd226d622b5
Paul French Bakery & Cafe,Washington,DC,https://www.toasttab.com/local/order/paul-french-bakery-k-street/r-e01c38f4-4bc8-4231-9a1f-6d1ced837871
Milk Bar - Logan,Washington,DC,https://www.toasttab.com/local/milk-bar-logan/r-016b6449-c636-44e3-a3da-d31101b94852
Roti Mediterranean Bowls  Salads & Pitas,Washington,DC,https://www.toasttab.com/local/order/roti-k-street/r-6d5fd069-9e63-466f-8180-37716f2da131
RARE Steakhouse & Tavern,Washington,DC,https://www.toasttab.com/local/rare-steakhouse-and-tavern-dc/r-6968affc-1ada-44ef-9307-a48e5637415f
Baker's Daughter at The Eaton,Washington,DC,https://www.toasttab.com/local/order/bakers-daughter-eaton-1201-k-st-nw/r-8717de50-5ab9-4c7a-b29e-0ed8465c8b25
Michele's,Washington,DC,https://www.toasttab.com/local/order/michelesdc-1201-k-street-northwest/r-6e8e8a09-d0b0-419b-b528-dd05038b80a4
Le DeSales,Washington,DC,https://www.toasttab.com/local/order/le-desales/r-7bd654e7-171c-47d5-931e-4a325a11935a
Immigrant Food @ Planet Word - 925 13th St. NW,Washington,DC,https://www.toasttab.com/local/order/immigrant-food-plus/r-66d1212a-fc61-40e5-aaa9-67b5c31e911d
Brennan's Bar,Washington,DC,https://www.toasttab.com/local/order/the-carlyle-room-1350-i-street-nw/r-e3f5b5ea-7da5-4dbf-80c3-b8aa9491637a
El Rinconcito Cafe Restaurant - 1129 11th Street Northwest,Washington,DC,https://www.toasttab.com/local/order/el-rinconcito-cafe-em2-1129-11th-street-northwest/r-8c604461-9044-4e0a-a34b-66cddb276217
Brasserie Beck,Washington,DC,https://www.toasttab.com/local/order/becksdc/r-5f065866-c418-474b-b153-90dd0d8bbfe7
Sushi Taro,Washington,DC,https://www.toasttab.com/local/order/sushi-taro-1503-17th-st-nw/r-59d8869d-91e8-4237-8d1a-ed39046ad1d4
